Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
Zimbabwe,West Indies,West Indies,72 runs,Harare,"Nov 29, 2003",West Indies,Balanced,Zimbabwe
Pakistan,New Zealand,Pakistan,3 wickets,Lahore,"Nov 29, 2003",New Zealand,Balanced,Pakistan
Zimbabwe,West Indies,West Indies,8 wickets,Harare,"Nov 30, 2003",Zimbabwe,Balanced,Zimbabwe
Pakistan,New Zealand,Pakistan,124 runs,Lahore,"Dec 1, 2003",Pakistan,Balanced,Pakistan
Pakistan,New Zealand,Pakistan,51 runs,Faisalabad,"Dec 3, 2003",Pakistan,Balanced,Pakistan
Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,"Dec 5, 2003",New Zealand,Balanced,Pakistan
Pakistan,New Zealand,Pakistan,49 runs,Rawalpindi,"Dec 7, 2003",Pakistan,Balanced,Pakistan
New Zealand,Pakistan,New Zealand,4 wickets,Auckland,"Jan 3, 2004",Pakistan,Batting,New Zealand
New Zealand,Pakistan,Pakistan,6 wickets,Queenstown,"Jan 7, 2004",New Zealand,Balanced,New Zealand
Australia,India,Australia,18 runs,Melbourne,"Jan 9, 2004",Australia,Balanced,Australia
New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Jan 10, 2004",Pakistan,Balanced,New Zealand
Australia,Zimbabwe,Australia,99 runs,Sydney,"Jan 11, 2004",Australia,Balanced,Australia
New Zealand,Pakistan,New Zealand,8 wickets,Napier,"Jan 14, 2004",Pakistan,Balanced,New Zealand
India,Zimbabwe,India,7 wickets,Hobart,"Jan 14, 2004",Zimbabwe,Balanced,Australia
Australia,Zimbabwe,Australia,148 runs,Hobart,"Jan 16, 2004",Australia,Balanced,Australia
New Zealand,Pakistan,New Zealand,4 runs,Wellington,"Jan 17, 2004",New Zealand,Balanced,New Zealand
Australia,India,India,19 runs,Brisbane,"Jan 18, 2004",India,Batting,Australia
India,Zimbabwe,India,24 runs,Brisbane,"Jan 20, 2004",India,Batting,Australia
Australia,India,Australia,2 wickets,Sydney,"Jan 22, 2004",India,Balanced,Australia
India,Zimbabwe,India,3 runs,Adelaide,"Jan 24, 2004",India,Balanced,Australia
South Africa,West Indies,South Africa,209 runs,Cape Town,"Jan 25, 2004",South Africa,Bowling,South Africa
Australia,Zimbabwe,Australia,13 runs,Adelaide,"Jan 26, 2004",Australia,Balanced,Australia
South Africa,West Indies,South Africa,16 runs,Gqeberha,"Jan 28, 2004",South Africa,Balanced,South Africa
Australia,Zimbabwe,0,-,Melbourne,"Jan 29, 2004",Zimbabwe,Balanced,Australia
South Africa,West Indies,0,-,Durban,"Jan 30, 2004",West Indies,Batting,South Africa
Australia,India,Australia,5 wickets,Perth,"Feb 1, 2004",India,Balanced,Australia
South Africa,West Indies,West Indies,7 wickets,Centurion,"Feb 1, 2004",South Africa,Batting,South Africa
India,Zimbabwe,India,4 wickets,Perth,"Feb 3, 2004",Zimbabwe,Balanced,Australia
South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Feb 4, 2004",West Indies,Batting,South Africa
Australia,India,Australia,7 wickets,Melbourne,"Feb 6, 2004",India,Balanced,Australia
Australia,India,Australia,208 runs,Sydney,"Feb 8, 2004",Australia,Balanced,Australia
New Zealand,South Africa,South Africa,5 wickets,Auckland,"Feb 13, 2004",New Zealand,Batting,New Zealand
New Zealand,South Africa,New Zealand,5 wickets,Christchurch,"Feb 17, 2004",South Africa,Balanced,New Zealand
New Zealand,South Africa,New Zealand,5 runs,Wellington,"Feb 20, 2004",New Zealand,Balanced,New Zealand
Sri Lanka,Australia,Australia,84 runs,Dambulla,"Feb 20, 2004",Australia,Balanced,Sri Lanka
Sri Lanka,Australia,Sri Lanka,1 run,Dambulla,"Feb 22, 2004",Australia,Balanced,Sri Lanka
New Zealand,South Africa,New Zealand,6 wickets,Dunedin,"Feb 25, 2004",South Africa,Balanced,New Zealand
Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),"Feb 25, 2004",Sri Lanka,Batting,Sri Lanka
Sri Lanka,Australia,Australia,40 runs,Colombo (RPS),"Feb 27, 2004",Australia,Batting,Sri Lanka
New Zealand,South Africa,New Zealand,2 runs,Auckland,"Feb 29, 2004",New Zealand,Batting,New Zealand
Sri Lanka,Australia,Sri Lanka,3 wickets,Colombo (SSC),"Feb 29, 2004",Australia,Balanced,Sri Lanka
New Zealand,South Africa,New Zealand,5 wickets,Napier,"Mar 2, 2004",South Africa,Balanced,New Zealand
Zimbabwe,Bangladesh,Bangladesh,8 runs,Harare,"Mar 10, 2004",Bangladesh,Balanced,Zimbabwe
Zimbabwe,Bangladesh,Zimbabwe,14 runs,Harare,"Mar 12, 2004",Zimbabwe,Balanced,Zimbabwe
Pakistan,India,India,5 runs,Karachi,"Mar 13, 2004",India,Batting,Pakistan
Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare,"Mar 14, 2004",Bangladesh,Balanced,Zimbabwe
Pakistan,India,Pakistan,12 runs,Rawalpindi,"Mar 16, 2004",Pakistan,Balanced,Pakistan
Pakistan,India,Pakistan,4 wickets,Peshawar,"Mar 19, 2004",India,Balanced,Pakistan
