Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
Kenya,Bangladesh,Bangladesh,5 wickets,Nairobi (Gym),"Sep 1, 2007",T20I # 17,Kenya,Balanced,Kenya
Bangladesh,Pakistan,Pakistan,30 runs,Nairobi (Gym),"Sep 2, 2007",T20I # 18,Pakistan,Balanced,Kenya
Kenya,Pakistan,Pakistan,8 wickets,Nairobi (Gym),"Sep 4, 2007",T20I # 19,Kenya,Balanced,Kenya
South Africa,West Indies,South Africa,8 wickets,Johannesburg,"Sep 11, 2007",T20I # 20,West Indies,Batting,South Africa
Kenya,New Zealand,New Zealand,9 wickets,Durban,"Sep 12, 2007",T20I # 21,Kenya,Batting,South Africa
Pakistan,Scotland,Pakistan,51 runs,Durban,"Sep 12, 2007",T20I # 22,Pakistan,Batting,South Africa
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,"Sep 12, 2007",T20I # 23,Australia,Bowling,South Africa
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,"Sep 13, 2007",T20I # 24,West Indies,Batting,South Africa
England,Zimbabwe,England,50 runs,Cape Town,"Sep 13, 2007",T20I # 25,England,Bowling,South Africa
India,Scotland,0,-,Durban,"Sep 13, 2007",T20I # 26,India,Batting,South Africa
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,"Sep 14, 2007",T20I # 27,Sri Lanka,Batting,South Africa
Australia,England,Australia,8 wickets,Cape Town,"Sep 14, 2007",T20I # 28,England,Bowling,South Africa
India,Pakistan,0,-,Durban,"Sep 14, 2007",T20I # 29,India,Batting,South Africa
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,"Sep 15, 2007",T20I # 30,New Zealand,Batting,South Africa
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,"Sep 15, 2007",T20I # 31,Bangladesh,Bowling,South Africa
India,New Zealand,New Zealand,10 runs,Johannesburg,"Sep 16, 2007",T20I # 32,New Zealand,Batting,South Africa
Australia,Bangladesh,Australia,9 wickets,Cape Town,"Sep 16, 2007",T20I # 33,Bangladesh,Bowling,South Africa
South Africa,England,South Africa,19 runs,Cape Town,"Sep 16, 2007",T20I # 34,South Africa,Bowling,South Africa
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,"Sep 17, 2007",T20I # 35,Pakistan,Batting,South Africa
England,New Zealand,New Zealand,5 runs,Durban,"Sep 18, 2007",T20I # 36,New Zealand,Batting,South Africa
